# File used : 52967538-6671-C748-9CEC-C21D276D640B.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
  41    -11       1       12352                 28  -0.5234   0.000   1.0352 0.12891
  42    421       2       12354                 38   0.9902   0.000   2.1797 5.79688

Event Number : 4
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23040.0000   0.000   0.0000 0.00000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   2.2109  79.000   2.9141 31.93750
   3     25      22        4481                  0   2.0078 125.000  -0.2314 31.93750
   4     24      44         257                  2   2.2500  79.000   2.8672 30.75000
   5     25      44         257                  3   1.9766 125.000  -0.1938 33.12500
   6     24      44         257                  4   2.2266  79.000   2.8516 31.62500
   7     25      44         257                  5   1.9961 125.000  -0.1777 32.37500
   8     24      44         257                  6   2.2266  79.000   2.8516 31.68750
   9     25      44         257                  7   2.0000 125.000  -0.1802 32.37500
  10     24      62       10497                  8   2.2266  79.000   2.8672 31.75000
  11     25      62       10497                  9   2.0156 125.000  -0.2056 31.75000
  12    -11       1       12673                 10   0.8457   0.000  -2.9766 47.62500
  13     12       1       12673                 10   2.1719   0.000   0.7793 23.12500
  14     35      22       14721                 11   1.6133  20.000   2.3438 37.62500
  15     35      22       31105                 11   0.3916  20.000  -0.5293 66.25000
  16      5      23       12673                 14   2.0938   0.000  -2.8359 4.03125
  17     -5      23       12673                 14   1.4727   0.000   2.2422 36.00000
  18     22       1       12673                 15   0.7031   0.000  -0.4316 28.50000
  19     22       1       12673                 15   0.1284   0.000  -0.6016 38.00000
  20   -521       2       12291                 16   2.0703   5.281  -2.9766 4.06250
  21    511       2       12291                 16   1.4883   5.281   2.2500 35.12500
  22    -12       1       12352                 20   1.9141   0.000  -2.9375 3.43750
  23     11       1       12352                 20   1.5195   0.000  -1.9258 0.36426
  24     14       1       12352                 21   1.1094   0.000   2.1406 2.68750
  25    -13       1       12352                 21   1.4414   0.000   2.2344 14.65625
  26   -413       2       28738                 21   1.5664   2.008   2.2734 17.81250
  27    413       2       12354                 20   2.5469   2.008   2.7734 0.41016
  28   -411       2       12354                 26   1.5625   0.000   2.2734 17.56250
  29    421       2       12354                 27   2.4766   0.000   2.7422 0.41406

Event Number : 5
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -1      21       14721                 -1 23104.0000   0.000   0.0000 0.00000
   1      2      21       10625                 -1 -22848.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   0.5332  83.500  -0.9883 87.50000
   3     25      22        4481                  0   1.6055 125.000   2.1562 87.50000
   4     24      44         257                  2   0.5234  83.500  -0.9922 90.75000
   5     25      44         257                  3   1.7227 125.000   2.1641 79.25000
   6     -4      31       20481                 -1 22784.0000   0.000   0.0000 0.00000
   7     24      44         257                  4   0.5332  83.500  -1.0117 94.50000
   8     25      44         257                  5   1.7227 125.000   2.1797 77.25000
   9     24      44         257                  7   0.5391  83.500  -0.9941 94.50000
  10     25      44         257                  8   1.7266 125.000   2.1250 77.25000
  11     24      44         257                  9   0.5488  83.500  -0.9902 93.50000
  12     25      44         257                 10   1.7031 125.000   2.1172 79.25000
  13     24      44         257                 11   0.5527  83.500  -0.9863 93.25000
  14     25      44         257                 12   1.6914 125.000   2.1094 80.25000
  15     -4      44           1                  6   1.7891   0.000   1.2617 12.09375
  16      4      44       16385                 -1   0.9004   0.000  -2.6562 3.65625
  17     24      62       10497                 13   0.5566  83.500  -0.9551 93.50000
  18     25      62       10497                 14   1.6875 125.000   2.0938 80.50000
  19    -13       1       12673                 17   1.0234   0.000   0.1135 33.62500
  20     14       1       12673                 17   0.1675   0.000  -1.3203 82.75000
  21     35      22       14721                 18   1.3125  20.000   1.9961 107.25000
  22     35      22       31105                 18   0.8125  20.000  -1.4102 28.12500
  23      5      23       12673                 21   1.4766   0.000   1.7148 18.37500
  24     -5      23       12673                 21   1.2656   0.000   2.0547 89.75000
  25     22       1       12673                 22   0.8633   0.000  -1.2227 26.87500
  26     22       1       12673                 22  -0.1509   0.000  -2.6484 5.26562
  27   -513       2       28675                 23   1.4648   5.328   1.7891 17.50000
  28    523       2       28675                 23   1.2734   5.328   2.0547 80.75000
  29   -413       2       12291                 15   1.8828   2.008   1.1992 8.31250
  30      1      71        8193                 -1  -1.0664   0.000   1.6875 0.45312
  31     -1      71        8193                 -1  -6.0469   0.000   0.4111 1.88281
  32    423       2       28675                 16   1.5195   2.008  -3.0078 2.28906
  33   -511       2       12354                 27   1.4648   5.281   1.7891 17.50000
  34    521       2       12354                 28   1.2734   5.281   2.0547 80.50000
  35   -421       2       12354                 29   1.8828   0.000   1.2031 7.73438
  36    421       2       12354                 32   1.5352   0.000  -2.9531 2.18750
  37    413       2       12354                 33   1.5195   2.008   1.7422 6.43750
  38    431       2       12354                 34   1.3242   1.969   2.0391 31.00000
  39   -423       2       28738                 34   1.2383   2.008   2.0625 49.62500
  40     11       1       12352                  6  -1.9453   0.000  -1.3555 0.21777
  41    -11       1       12352                  6  -1.9219   0.000  -1.3555 0.06042
  42    421       2       12354                 37   1.5195   0.000   1.7461 5.90625
  43   -421       2       12354                 39   1.2383   0.000   2.0625 49.62500
  44     11       1       12352                 43   1.1680   0.000   2.1172 5.04688
  45    -12       1       12352                 43   1.2578   0.000   2.0859 9.43750
  46    111       2       28738                 43   1.2422   0.000   2.0391 26.25000
  47     22       1       12352                 46   1.2422   0.000   2.0391 25.87500

Event Number : 6
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      1      21       10625                 -1 22848.0000   0.000   0.0000 0.00000
   1     -2      21       14721                 -1 -22848.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0  -0.9102  80.500   3.1328 16.75000
