
Event 0
        g [21] (status=71) pt=25.88, eta=-0.01, phi=2.61, mass=0.00
        b~ [-5] (status=71) pt=83.00, eta=-0.05, phi=2.48, mass=0.00
        Lambda(b)~0 [-5122] (status=2) pt=85.25, eta=-0.04, phi=2.49, mass=5.62
          nu(mu) [14] (status=1) pt=5.47, eta=0.04, phi=2.39, mass=0.00
          mu+ [-13] (status=1) pt=53.12, eta=-0.07, phi=2.51, mass=0.00
          Lambda(c)~- [-4122] (status=2) pt=26.69, eta=-0.01, phi=2.48, mass=2.29
  g [21] (status=23) pt=221.00, eta=-2.81, phi=-0.97, mass=0.00
    g [21] (status=44) pt=208.50, eta=-2.78, phi=-0.98, mass=0.00
      d~ [-1] (status=71) pt=40.50, eta=-2.81, phi=-0.99, mass=0.00
      d [1] (status=71) pt=145.00, eta=-2.77, phi=-0.99, mass=0.00
      omega(782) [223] (status=2) pt=120.00, eta=-2.77, phi=-0.99, mass=0.78
        pi0 [111] (status=2) pt=18.44, eta=-2.77, phi=-1.00, mass=0.00
          gamma [22] (status=1) pt=12.94, eta=-2.77, phi=-1.00, mass=0.00
        gamma [22] (status=1) pt=101.50, eta=-2.77, phi=-0.98, mass=0.00
    g [21] (status=71) pt=2.86, eta=-1.78, phi=0.19, mass=0.00
    g [21] (status=71) pt=0.87, eta=-3.02, phi=-0.38, mass=0.00
    g [21] (status=71) pt=1.20, eta=-1.61, phi=0.26, mass=0.00
    g [21] (status=71) pt=2.20, eta=-3.71, phi=-0.61, mass=0.00
    g [21] (status=71) pt=0.38, eta=-4.00, phi=0.63, mass=0.00
    g [21] (status=71) pt=4.09, eta=-3.00, phi=-1.03, mass=0.00
    g [21] (status=71) pt=2.33, eta=-2.57, phi=-1.22, mass=0.00
    g [21] (status=71) pt=8.81, eta=-2.64, phi=-0.99, mass=0.00
    g [21] (status=71) pt=4.72, eta=-2.77, phi=-1.10, mass=0.00
    g [21] (status=71) pt=12.28, eta=-2.78, phi=-0.92, mass=0.00

Event 2
g [21] (status=21) pt=0.00, eta=22976.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=59.75, eta=0.21, phi=1.29, mass=172.50
    t [6] (status=62) pt=57.25, eta=0.17, phi=1.46, mass=172.57
      W+ [24] (status=22) pt=19.44, eta=-1.54, phi=-2.54, mass=80.25
        e+ [-11] (status=23) pt=16.94, eta=1.04, phi=2.84, mass=0.00
          e+ [-11] (status=1) pt=16.94, eta=1.04, phi=2.84, mass=0.00
          gamma [22] (status=1) pt=0.04, eta=1.04, phi=2.84, mass=0.00
        nu(e) [12] (status=23) pt=15.94, eta=-2.10, phi=-1.56, mass=0.00
          nu(e) [12] (status=1) pt=15.94, eta=-2.10, phi=-1.56, mass=0.00
      b [5] (status=23) pt=71.25, eta=0.69, phi=1.26, mass=0.00
        b [5] (status=71) pt=71.25, eta=0.69, phi=1.26, mass=0.00
          B~0 [-511] (status=2) pt=69.75, eta=0.69, phi=1.26, mass=5.28
            D+ [411] (status=2) pt=20.81, eta=0.62, phi=1.28, mass=0.00
