
Event 0
                  B~0 [-511] (status=2) pt=50.00, eta=-1.46, phi=1.24, mass=5.28
                    D*(2010)+ [413] (status=2) pt=24.31, eta=-1.44, phi=1.21, mass=2.01
                      D+ [411] (status=2) pt=22.25, eta=-1.44, phi=1.21, mass=0.00
                        e+ [-11] (status=1) pt=0.16, eta=-0.95, phi=0.74, mass=0.00
                        nu(e) [12] (status=1) pt=10.69, eta=-1.42, phi=1.21, mass=0.00
                    D- [-411] (status=2) pt=19.06, eta=-1.49, phi=1.28, mass=0.00
                B*+ [523] (status=2) pt=14.41, eta=-1.27, phi=2.57, mass=5.33
                  B+ [521] (status=2) pt=14.31, eta=-1.26, phi=2.57, mass=5.28
              b~ [-5] (status=23) pt=23.75, eta=-1.59, phi=2.69, mass=0.00
                b~ [-5] (status=71) pt=13.97, eta=-1.30, phi=2.57, mass=0.00
  u [2] (status=23) pt=201.00, eta=-1.49, phi=-1.81, mass=0.00
    u [2] (status=71) pt=52.88, eta=-1.50, phi=-1.79, mass=0.00
    g [21] (status=71) pt=43.50, eta=-1.52, phi=-1.77, mass=0.00
    g [21] (status=71) pt=85.75, eta=-1.41, phi=-1.88, mass=0.00
    pi0 [111] (status=2) pt=23.06, eta=-1.52, phi=-1.79, mass=0.00
      e- [11] (status=1) pt=1.27, eta=-1.52, phi=-1.79, mass=0.00
      e+ [-11] (status=1) pt=11.91, eta=-1.52, phi=-1.79, mass=0.00

Event 3
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=201.00, eta=-1.64, phi=1.34, mass=125.00
    H0 [25] (status=44) pt=193.50, eta=-1.69, phi=1.34, mass=125.00
      H0 [25] (status=44) pt=192.50, eta=-1.69, phi=1.36, mass=125.00
        H0 [25] (status=44) pt=193.00, eta=-1.69, phi=1.36, mass=125.00
          H0 [25] (status=62) pt=192.50, eta=-1.69, phi=1.36, mass=125.00
            35 [35] (status=22) pt=113.50, eta=-1.73, phi=1.28, mass=60.00
              gamma [22] (status=1) pt=66.25, eta=-1.37, phi=1.66, mass=0.00
              gamma [22] (status=1) pt=57.75, eta=-1.91, phi=0.83, mass=0.00
            35 [35] (status=22) pt=80.00, eta=-1.61, phi=1.46, mass=60.00
              b [5] (status=23) pt=75.25, eta=-1.36, phi=1.16, mass=0.00
                b [5] (status=71) pt=53.25, eta=-1.47, phi=1.25, mass=0.00
                B*~0 [-513] (status=2) pt=50.62, eta=-1.46, phi=1.24, mass=5.33
                  B~0 [-511] (status=2) pt=50.00, eta=-1.46, phi=1.24, mass=5.28
                    D*(2010)+ [413] (status=2) pt=24.31, eta=-1.44, phi=1.21, mass=2.01
                      D+ [411] (status=2) pt=22.25, eta=-1.44, phi=1.21, mass=0.00
                        e+ [-11] (status=1) pt=0.16, eta=-0.95, phi=0.74, mass=0.00
                        nu(e) [12] (status=1) pt=10.69, eta=-1.42, phi=1.21, mass=0.00
                    D- [-411] (status=2) pt=19.06, eta=-1.49, phi=1.28, mass=0.00
                B*+ [523] (status=2) pt=14.41, eta=-1.27, phi=2.57, mass=5.33
                  B+ [521] (status=2) pt=14.31, eta=-1.26, phi=2.57, mass=5.28
              b~ [-5] (status=23) pt=23.75, eta=-1.59, phi=2.69, mass=0.00
                b~ [-5] (status=71) pt=13.97, eta=-1.30, phi=2.57, mass=0.00
  u [2] (status=23) pt=201.00, eta=-1.49, phi=-1.81, mass=0.00
    u [2] (status=71) pt=52.88, eta=-1.50, phi=-1.79, mass=0.00
    g [21] (status=71) pt=43.50, eta=-1.52, phi=-1.77, mass=0.00
