# File used : root://xrootd-cms.infn.it//store/mc/RunIISummer20UL18NanoAODv9/WHToAA_AToBB_AToGG_M-20_TuneCP5_13TeV_madgraph_pythia8/NANOAODSIM/106X_upgrade2018_realistic_v16_L1v1-v1/2530000/FB6A4557-3B3E-5E4A-900D-45A77C107EA2.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000   0.000
   2     24      22        4481                  0   1.5469  80.250  -0.8223 145.000
   3     25      22        4481                  0   2.4531 125.000   2.3203 145.000
   4     24      44         257                  2   1.5117  80.250  -0.8516 143.500
   5     25      44         257                  3   2.4219 125.000   2.3359 145.500
   6     24      44         257                  4   1.4922  80.250  -0.8457 139.000
   7     25      44         257                  5   2.4219 125.000   2.3281 148.000
   8     24      44         257                  6   1.4961  80.250  -0.8418 140.500
   9     25      44         257                  7   2.4219 125.000   2.3281 147.000
  10     24      44         257                  8   1.4961  80.250  -0.8438 141.000
  11     25      44         257                  9   2.4219 125.000   2.3281 147.000
  12     24      62       10497                 10   1.5078  80.250  -0.8438 139.500
  13     25      62       10497                 11   2.3984 125.000   2.3281 150.500
  14    -13      23       22913                 12   1.1797   0.000  -1.2695  87.000
  15     14      23        4481                 12   1.6250   0.000  -0.3066  70.000
  16    -13      51         257                 14   1.1797   0.000  -1.2656  84.250
  17     14       1        8449                 15   1.6250   0.000  -0.3066  69.750
  18    -13       1        8449                 16   1.1797   0.000  -1.2656  84.250
  19     22       1       12289                 16   1.1797   0.000  -1.2695   0.000
  20     22       1        8193                 14   1.1680   0.000  -1.3164   2.594
  21     35      22       14721                 13   1.2891  20.000   2.9453  37.625
  22     35      22       31105                 13   2.5234  20.000   2.1484 122.000
  23      5      23       22913                 21   0.7207   0.000  -3.1172  14.781
  24     -5      23        4481                 21   1.5312   0.000   2.8125  23.438
  25     22       1       12673                 22   2.5547   0.000   2.1484 114.000
  26     22       1       12673                 22   1.9062   0.000   2.2188   7.875
  27      2      72        8193                 -1  -7.6719   0.000  -2.1172   0.775
  28     -1      72        8193                 -1  -2.8984   0.000  -0.9004   1.734
  29      5      71        8449                 23   0.7344   0.000  -3.0703  12.594
  30     -5      71        8449                 24   1.5195   0.000   2.8125  21.125
  31   -523       2       28675                 23   0.7812   5.328  -3.0781  13.781
  32    513       2       28675                 23   1.4883   5.328   2.8359  20.688
  33   2101      74        8193                 -1  -7.8594   1.508   0.0635   0.377
  34      2      71        8193                 -1   4.1875   0.000   2.9219   0.330
  35   -521       2       12354                 31   0.7832   5.281  -3.0703  13.750
  36    511       2       12354                 32   1.4883   5.281   2.8359  20.688
  37     11       1       12352                 27  -4.7344   0.000   2.2188   0.327
  38    -11       1       12352                 27  -4.7344   0.000   2.2109   0.243
  39     11       1       12352                 33  -6.5000   0.000   2.4766   0.001
  40    -11       1       12352                 33  -5.9844   0.000  -0.7168   0.026
  41   -431       2       12354                 35   0.7305   1.969  -3.1172  11.094
  42    411       2       12354                 35   0.9688   0.000  -2.9062   2.688
  43   -413       2       12354                 36   1.4844   2.008   2.9297   8.406
  44   -421       2       12354                 43   1.4805   0.000   2.9297   7.875

Event Number : 6
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 25792.0000   0.000   0.0000   0.000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000   0.000
