# File used : 86D3D6A3-EE02-5849-8FC0-C89B9BE7D930.root


Event Number : 8
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
  16     22      23       22913                 13   3.0547   0.000  -1.5547 28.87500
  17     22      23       12673                 13   2.6016   0.000   1.1094 13.90625
  18     22       1        8449                 16   3.0547   0.000  -1.5547 28.87500
  19      5      71        8449                 14   0.8086   0.000   1.9844 21.06250
  20     -5      71        8449                 15   2.0859   0.000   0.1782 12.71875
  21   -523       2       28675                 14   0.7773   5.328   1.9766 19.62500
  22    521       2       12291                 14   2.0938   5.281   0.1538 10.96875
  23   -521       2       12354                 21   0.7754   5.281   1.9727 19.56250
  24   -421       2       12354                 22   2.0078   0.000   0.0903 4.56250
  25    -12       1       12352                 23   0.7754   0.000   2.1172 5.79688
  26     11       1       12352                 23   1.0352   0.000   1.9609 5.32812
  27    423       2       12354                 23   0.5762   2.008   1.8867 8.50000
  28    421       2       12354                 27   0.5742   0.000   1.8828 8.03125

Event Number : 106
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 24000.0000   0.000   0.0000 0.00000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   3.5391  86.750  -3.0234 37.25000
   3     25      22        4481                  0   3.4375 125.000   0.1177 37.25000
   4     24      44         257                  2   3.5781  86.750  -3.0312 35.00000
   5     25      44         257                  3   3.3359 125.000   0.1294 41.87500
   6     24      62       10497                  4   3.6016  86.750  -3.0156 33.87500
   7     25      62       10497                  5   3.3125 125.000   0.1279 43.12500
   8    -13       1       12673                  6   2.3438   0.000  -1.8750 45.87500
   9     14       1       12673                  6   2.8672   0.000   2.0391 44.12500
  10     35      22       14721                  7   2.4609  40.000  -0.8984 55.37500
  11     35      22       31105                  7   2.3906  40.000   1.4023 49.62500
  12      5      23        4481                 10   2.5469   0.000  -0.2979 30.56250
  13     -5      23       22913                 10   2.0156   0.000  -1.4180 34.75000
  14     22      23       12673                 11   1.8828   0.000   1.5117 48.00000
  15     22      23       22913                 11   3.7266   0.000   0.1699 5.51562
  16     22       1        8449                 15   3.7266   0.000   0.1699 5.46875
  17    -13      51           1                 14   1.9062   0.000   1.5117 41.62500
  18     22       1       12289                 14   1.9102   0.000   1.5117 3.52344
  19     13      52           1                 14   1.5781   0.000   1.4570 2.87500
  20    -13       1        8193                 17   1.9062   0.000   1.5117 41.62500
  21     22       1       12289                 17   1.8984   0.000   1.5078 0.00008
  22     13       1        8193                 19   1.5781   0.000   1.4570 2.87500
  23      5      71        8449                 12   2.5469   0.000  -0.2998 29.00000
  24     -5      71        8449                 13   2.0312   0.000  -1.4258 34.62500
  25   -531       2       12291                 13   2.5234   5.359  -0.2959 29.06250
  26  -5122       2       12291                 13   2.0547   5.625  -1.4102 32.37500
  27   4324       2       28738                 25   2.5078   2.648  -0.2627 16.43750
  28  -4122       2       12354                 26   2.0625   2.289  -1.4297 12.59375
  29   4232       2       12354                 27   2.5078   2.469  -0.2734 15.43750

Event Number : 108
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -1      21       10625                 -1 22784.0000   0.000   0.0000 0.00000
   1      2      21       10625                 -1 -23360.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0  -2.1719  78.750  -1.4609 76.00000
   3     25      22        4481                  0  -1.9297 125.000   1.6797 76.00000
   4     24      44         257                  2  -2.1875  78.750  -1.5039 75.50000
   5     25      44         257                  3  -1.9297 125.000   1.7188 76.50000
   6     24      44         257                  4  -2.1875  78.750  -1.5078 76.00000
   7     25      44         257                  5  -1.9336 125.000   1.7188 75.75000
   8     24      62       10497                  6  -2.1875  78.750  -1.4961 76.00000
   9     25      62       10497                  7  -1.9336 125.000   1.7148 76.00000
  10    -13       1       12673                  8  -0.2598   0.000  -2.0938 14.65625
  11     14       1       12673                  8  -2.3359   0.000  -1.3711 64.25000
  12     35      22       14721                  9  -1.7773  40.000   1.5312 79.00000
  13     35      22       31105                  9  -1.4727  40.000  -2.8906 14.56250
  14      5      23       22913                 12  -2.0469   0.000   0.9121 25.50000
  15     -5      23        4481                 12  -1.5195   0.000   1.7773 60.00000
  16     22      23       12673                 13   0.6348   0.000   2.8125 11.25000
  17     22      23       22913                 13  -2.2500   0.000  -2.0078 8.03125
  18    -13       1       12289                 16   0.6836   0.000   2.8203 5.67188
  19     13       1       12289                 16   0.5801   0.000   2.8125 5.57812
  20     22       1        8449                 17  -2.2500   0.000  -2.0078 8.03125
  21      5      71        8449                 14  -2.0000   0.000   0.9434 27.43750
  22     -5      71        8449                 15  -1.5039   0.000   1.8242 38.12500
  23   -513       2       28675                 14  -2.0078   5.328   0.9648 24.12500
  24    511       2       12291                 14  -1.5117   5.281   1.8086 41.00000
  25   -511       2       12354                 23  -2.0000   5.281   0.9648 23.75000
  26     12       1       12352                 24  -1.5156   0.000   1.7266 8.25000
  27    -11       1       12352                 24  -1.5234   0.000   1.9414 15.68750
  28   -413       2       12354                 24  -1.4883   2.008   1.7305 17.31250
  29    -14       1       12352                 25  -1.7031   0.000   1.2305 2.87500
  30     13       1       12352                 25  -1.9922   0.000   0.9023 14.65625
  31    413       2       12354                 25  -2.1172   2.008   0.9863 6.32812
  32   -421       2       12354                 28  -1.4883   0.000   1.7305 16.37500
  33    411       2       12354                 31  -2.1172   0.000   0.9902 5.79688

Event Number : 123
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      1      21       14721                 -1 22784.0000   0.000   0.0000 0.00000
   1     -2      21       10625                 -1 -23168.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0  -1.7305  81.000   2.9375 74.50000
   3     25      22        4481                  0  -1.7109 125.000  -0.2031 74.50000
   4    -24      44         257                  2  -1.6445  81.000   3.0703 81.75000
   5     25      44         257                  3  -1.6680 125.000  -0.4912 66.00000
   6    -24      44         257                  4  -1.9219  81.000   3.0625 64.75000
   7     25      44         257                  5  -1.5273 125.000  -0.4033 79.75000
   8    -24      44         257                  6  -1.9062  81.000   3.0312 69.25000
   9     25      44         257                  7  -1.5742 125.000  -0.3936 68.75000
  10      4      31       20481                 -1 -22784.0000   0.000   0.0000 0.00000
  11    -24      44         257                  8  -1.9062  81.000   3.0312 69.25000
  12     25      44         257                  9  -1.5781 125.000  -0.3916 68.50000
  13    -24      62       10497                 11  -1.9102  81.000   3.0469 69.00000
  14     25      62       10497                 12  -1.5703 125.000  -0.4023 68.75000
  15     11      23       22913                 13  -0.7637   0.000  -2.6094 40.37500
  16    -12      23        4481                 13  -2.2031   0.000   2.4688 43.25000
  17    -12       1        8449                 16  -2.2031   0.000   2.4688 43.25000
  18     11       1        8449                 15  -0.7676   0.000  -2.6094 38.75000
  19     22       1       12289                 15  -0.7676   0.000  -2.6094 0.01373
  20     22       1        8193                 15  -0.6953   0.000  -2.6484 1.69141
  21     35      22       14721                 14  -1.2461  40.000   2.4922 17.75000
  22     35      22       31105                 14  -1.2031  40.000  -0.4531 86.00000
  23      5      23       12673                 21  -0.9531   0.000   1.1211 18.18750
  24     -5      23       12673                 21  -0.3516   0.000  -2.8906 22.68750
  25     22      23       22913                 22  -0.5645   0.000  -0.2715 31.56250
  26     22      23       12673                 22  -1.4492   0.000  -0.5566 55.37500
  27    -11       1       12289                 26  -1.2734   0.000  -0.5020 1.17969
  28     11       1       12289                 26  -1.4531   0.000  -0.5586 54.25000
  29     22       1        8449                 25  -0.5645   0.000  -0.2715 31.50000
  30    411       2       12291                 10   2.5312   0.000  -0.4014 3.26562
  31   -513       2       28675                 23  -0.9727   5.328   1.1328 15.78125
  32    511       2       12291                 23  -0.3594   5.281  -2.8984 19.56250
  33      2      71        8193                 -1   1.8203   0.000   1.3281 1.72656
  34     -3      71        8193                 -1  -2.3047   0.000   0.6582 1.62891
  35   -423       2       12291                 -1   0.2231   2.008   2.2812 1.44531
  36     21      71        8193                 -1  -0.4316   0.000   0.9102 22.12500
  37     21      71        8193                 -1  -2.5234   0.000  -3.1328 34.12500
  38    111       2       28675                 37  -2.5156   0.000  -3.0938 20.06250
  39   -511       2       12354                 31  -0.9707   5.281   1.1328 15.71875
